6,7,4
6,8,4
6,9,2
6,10,5
6,11,2
6,12,4
6,13,1
6,14,3
6,15,3
6,16,1
6,17,1
6,4,4
6,2,2
18,7,4
18,8,3
18,11,5
18,14,3
18,16,5
18,19,5
18,16,1
18,1,5
5,4,4
5,3,4
20,7,2
20,11,4
20,12,2
20,15,3
20,16,2
20,1,4
20,4,5
18,21,5
18,22,1
26,7,5
26,8,3
26,10,2
26,10,5
26,27,1
26,14,2
26,15,3
26,19,3
26,28,1
26,17,1
31,32,2
31,23,5
37,23,5
37,25,4
37,7,4
37,8,4
37,10,4
37,19,1
37,22,1
37,32,3
38,7,2
38,8,2
38,10,3
38,32,3
38,25,4
39,1,4
39,25,4
39,24,2
39,33,5
39,8,3
39,11,3
40,7,5
40,8,4
40,9,2
40,10,5
40,27,2
40,15,2
40,19,4
40,28,1
40,33,1
40,21,1
40,25,5
40,32,4
41,7,3
41,10,5
41,13,2
41,42,4
41,43,2
41,1,4
40,24,1
40,1,5
